'Ab_set_id','Category','P-Angles'
17,'range_4_9_redund',2.90508
18,'range_4_9_redund',5.098002
19,'range_4_9_redund',1.003157
20,'"range_4_9_redund"',
21,'range_4_9_redund',4.042282
22,'range_4_9_redund',8.54651
23,'range_4_9_redund',4.448644
24,'range_4_9_redund',4.552725
25,'range_4_9_redund',3.918365
26,'range_4_9_redund',1.66727
27,'range_4_9_redund',4.371957
28,'range_4_9_redund',1.367615
29,'range_4_9_redund',4.296886
30,'range_4_9_redund',6.077366
31,'range_4_9_redund',0.903666
32,'range_4_9_redund',7.740125
33,'"range_4_9_redund"',
34,'range_4_9_redund',6.074268
35,'range_4_9_redund',8.362036
36,'range_4_9_redund',0.512255
37,'range_4_9_redund',5.262697
38,'range_4_9_redund',7.758262
39,'range_4_9_redund',7.554617
40,'"range_4_9_redund"',
41,'"range_4_9_redund"',
42,'range_4_9_redund',1.501983
43,'range_4_9_redund',1.627187
44,'range_4_9_redund',1.808345
45,'range_4_9_redund',3.228181
46,'range_4_9_redund',8.290868
47,'range_4_9_redund',3.409705
48,'range_4_9_redund',1.953091
49,'range_4_9_redund',4.669678
50,'range_4_9_redund',1.442561
51,'"range_4_9_redund"',
52,'range_4_9_redund',2.650443
53,'range_4_9_redund',3.981231
54,'range_4_9_redund',8.723699
55,'"range_4_9_redund"',
56,'range_4_9_redund',5.006646
57,'range_4_9_redund',1.66727
58,'range_4_9_redund',4.409698
59,'"range_4_9_redund"',
60,'range_4_9_redund',6.560409
61,'range_4_9_redund',4.443557
62,'range_4_9_redund',8.089146
63,'range_4_9_redund',4.608055
64,'range_4_9_redund',1.04328
65,'"range_4_9_redund"',
66,'range_4_9_redund',0.694306
1,'"range_free_groups"',
2,'"range_free_groups"',
3,'"range_free_groups"',
4,'range_free_sets',1.072754
5,'"range_free_groups"',
6,'"range_free_groups"',
7,'range_free_sets',3.098297
8,'range_free_sets',5.449025
9,'range_free_sets',2.37737
10,'range_free_sets',2.553779
11,'"range_free_groups"',
12,'"range_free_groups"',
13,'range_free_sets',1.716535
14,'"range_free_groups"',
15,'range_free_sets',1.638403
16,'"range_free_groups"',
17,'"range_free_groups"',
18,'"range_free_groups"',
19,'range_free_sets',0.90398
20,'range_free_sets',2.720245
21,'range_free_sets',4.042282
22,'range_free_sets',3.23167
23,'"range_free_groups"',
24,'range_free_sets',0.721846
25,'range_free_sets',1.392756
26,'"range_free_groups"',
27,'"range_free_groups"',
28,'"range_free_groups"',
29,'"range_free_groups"',
30,'range_free_sets',3.31239
31,'range_free_sets',0.475064
32,'"range_free_groups"',
33,'range_free_sets',3.972394
34,'range_free_sets',0.170962
35,'range_free_sets',7.654884
36,'"range_free_groups"',
37,'"range_free_groups"',
38,'"range_free_groups"',
39,'range_free_sets',5.165984
40,'range_free_sets',3.972394
41,'range_free_sets',0.044338
42,'"range_free_groups"',
43,'range_free_sets',0.664953
44,'"range_free_groups"',
45,'range_free_sets',3.228181
46,'range_free_sets',4.464288
47,'range_free_sets',2.834467
48,'"range_free_groups"',
49,'"range_free_groups"',
50,'"range_free_groups"',
51,'range_free_sets',1.220381
52,'"range_free_groups"',
53,'range_free_sets',3.981231
54,'"range_free_groups"',
55,'range_free_sets',5.449025
56,'"range_free_groups"',
57,'"range_free_groups"',
58,'"range_free_groups"',
59,'range_free_sets',2.720245
60,'"range_free_groups"',
61,'"range_free_groups"',
62,'range_free_sets',0.245458
63,'"range_free_groups"',
64,'"range_free_groups"',
65,'range_free_sets',2.720245
66,'range_free_sets',0.694306
1,'range_complex_sets',1.113054
2,'range_complex_sets',3.550383
3,'range_complex_sets',2.880802
4,'range_complex_sets',1.297193
5,'range_complex_sets',2.968729
6,'range_complex_sets',1.07318
7,'range_complex_sets',3.506402
8,'range_complex_sets',8.148378
9,'range_complex_sets',0.892554
10,'range_complex_sets',2.58455
11,'range_complex_sets',1.050429
12,'range_complex_sets',3.531677
13,'range_complex_sets',1.055755
14,'range_complex_sets',3.293656
15,'range_complex_sets',1.995354
16,'range_complex_sets',0.748673
17,'range_complex_sets',1.468619
18,'range_complex_sets',5.098002
19,'"range_complex_groups"',
20,'range_complex_sets',3.171021
21,'range_complex_sets',0.921621
22,'range_complex_sets',6.609385
23,'range_complex_sets',2.60727
24,'range_complex_sets',4.552725
25,'range_complex_sets',2.418345
26,'range_complex_sets',1.66727
27,'range_complex_sets',2.439341
28,'range_complex_sets',1.142307
29,'range_complex_sets',4.296886
30,'range_complex_sets',3.552779
31,'range_complex_sets',0.737612
32,'range_complex_sets',7.38071
33,'range_complex_sets',3.956863
34,'range_complex_sets',1.560169
35,'range_complex_sets',6.819433
36,'range_complex_sets',0.512255
37,'range_complex_sets',1.215623
38,'range_complex_sets',4.94848
39,'range_complex_sets',5.50372
40,'range_complex_sets',3.804828
41,'range_complex_sets',2.051094
42,'range_complex_sets',1.388423
43,'range_complex_sets',1.304317
44,'range_complex_sets',0.67776
45,'"range_complex_groups"',
46,'range_complex_sets',4.476863
47,'range_complex_sets',3.002781
48,'range_complex_sets',1.953091
49,'range_complex_sets',4.669678
50,'range_complex_sets',1.442561
51,'range_complex_sets',3.186637
52,'range_complex_sets',2.650443
53,'range_complex_sets',1.270979
54,'range_complex_sets',8.723699
55,'range_complex_sets',8.148378
56,'range_complex_sets',4.829705
57,'range_complex_sets',1.66727
58,'range_complex_sets',1.686084
59,'range_complex_sets',3.434451
60,'range_complex_sets',4.579929
61,'range_complex_sets',4.443557
62,'range_complex_sets',8.089146
63,'range_complex_sets',2.929417
64,'range_complex_sets',1.04328
65,'range_complex_sets',3.434451
66,'"range_complex_groups"',
1,'sd_all_sets',0.5391518
2,'sd_all_sets',2.0208037
3,'sd_all_sets',0.9901522
4,'sd_all_sets',0.5994892
5,'sd_all_sets',1.1291145
6,'sd_all_sets',0.5560883
7,'sd_all_sets',1.4302644
8,'sd_all_sets',3.3132728
9,'sd_all_sets',0.9167923
10,'sd_all_sets',1.4226085
11,'sd_all_sets',0.5172989
12,'sd_all_sets',0.8539609
13,'sd_all_sets',0.4805259
14,'sd_all_sets',1.0852495
15,'sd_all_sets',0.67355
16,'sd_all_sets',0.9003393
17,'sd_all_sets',1.2570474
18,'sd_all_sets',2.1078036
19,'sd_all_sets',0.4656066
20,'sd_all_sets',1.0792269
21,'sd_all_sets',1.2578985
22,'sd_all_sets',2.7942486
23,'sd_all_sets',2.0731826
24,'sd_all_sets',1.8854439
25,'sd_all_sets',1.6274216
26,'sd_all_sets',0.6679725
27,'sd_all_sets',1.8168591
28,'sd_all_sets',0.6863116
29,'sd_all_sets',1.7302306
30,'sd_all_sets',2.3239004
31,'sd_all_sets',0.3971912
32,'sd_all_sets',3.743246
33,'sd_all_sets',1.3214668
34,'sd_all_sets',3.0747498
35,'sd_all_sets',4.0684333
36,'sd_all_sets',0.22594
37,'sd_all_sets',2.3698178
38,'sd_all_sets',3.1301737
39,'sd_all_sets',2.4991428
40,'sd_all_sets',1.3011443
41,'sd_all_sets',0.5859999
42,'sd_all_sets',0.5723703
43,'sd_all_sets',0.7034619
44,'sd_all_sets',0.8186776
45,'sd_all_sets',1.5909536
46,'sd_all_sets',3.3951298
47,'sd_all_sets',1.3750913
48,'sd_all_sets',0.8879353
49,'sd_all_sets',1.4599521
50,'sd_all_sets',0.5549751
51,'sd_all_sets',0.8916901
52,'sd_all_sets',1.1756542
53,'sd_all_sets',1.4903738
54,'sd_all_sets',4.5793905
55,'sd_all_sets',3.3132728
56,'sd_all_sets',2.6645233
57,'sd_all_sets',0.6679725
58,'sd_all_sets',2.0563542
59,'sd_all_sets',1.0860547
60,'sd_all_sets',3.260688
61,'sd_all_sets',1.8748411
62,'sd_all_sets',3.020829
63,'sd_all_sets',1.7012891
64,'sd_all_sets',0.4167273
65,'sd_all_sets',1.0860547
66,'sd_all_sets',0.289543
1,'"sd_free_groups"',
2,'"sd_free_groups"',
3,'"sd_free_groups"',
4,'sd_free_sets',0.7585516
5,'"sd_free_groups"',
6,'"sd_free_groups"',
7,'sd_free_sets',1.5511199
8,'sd_free_sets',2.1277319
9,'sd_free_sets',1.6810544
10,'sd_free_sets',1.1089668
11,'"sd_free_groups"',
12,'"sd_free_groups"',
13,'sd_free_sets',0.4134588
14,'"sd_free_groups"',
15,'sd_free_sets',0.839024
16,'"sd_free_groups"',
17,'"sd_free_groups"',
18,'"sd_free_groups"',
19,'sd_free_sets',0.4545808
20,'sd_free_sets',1.1875222
21,'sd_free_sets',2.037402
22,'sd_free_sets',1.6165708
23,'"sd_free_groups"',
24,'sd_free_sets',0.5104222
25,'sd_free_sets',0.9848272
26,'"sd_free_groups"',
27,'"sd_free_groups"',
28,'"sd_free_groups"',
29,'"sd_free_groups"',
30,'sd_free_sets',2.3422134
31,'sd_free_sets',0.335921
32,'"sd_free_groups"',
33,'sd_free_sets',1.4668101
34,'sd_free_sets',0.1208884
35,'sd_free_sets',4.294468
36,'"sd_free_groups"',
37,'"sd_free_groups"',
38,'"sd_free_groups"',
39,'sd_free_sets',3.6529023
40,'sd_free_sets',1.6835923
41,'sd_free_sets',0.0313517
42,'"sd_free_groups"',
43,'sd_free_sets',0.4701928
44,'"sd_free_groups"',
45,'sd_free_sets',1.7694774
46,'sd_free_sets',3.1567283
47,'sd_free_sets',1.2819672
48,'"sd_free_groups"',
49,'"sd_free_groups"',
50,'"sd_free_groups"',
51,'sd_free_sets',0.4751236
52,'"sd_free_groups"',
53,'sd_free_sets',1.8505821
54,'"sd_free_groups"',
55,'sd_free_sets',2.1277319
56,'"sd_free_groups"',
57,'"sd_free_groups"',
58,'"sd_free_groups"',
59,'sd_free_sets',1.1875222
60,'"sd_free_groups"',
61,'"sd_free_groups"',
62,'sd_free_sets',0.173565
63,'"sd_free_groups"',
64,'"sd_free_groups"',
65,'sd_free_sets',1.1875222
66,'sd_free_sets',0.347988
1,'sd_complex_sets',0.6011993
2,'sd_complex_sets',1.2674874
3,'sd_complex_sets',1.095074
4,'sd_complex_sets',0.6547149
5,'sd_complex_sets',1.2719852
6,'sd_complex_sets',0.5453673
7,'sd_complex_sets',1.5041556
8,'sd_complex_sets',4.4993098
9,'sd_complex_sets',0.3701511
10,'sd_complex_sets',1.3447286
11,'sd_complex_sets',0.5932572
12,'sd_complex_sets',0.7578646
13,'sd_complex_sets',0.7465315
14,'sd_complex_sets',1.1768552
15,'sd_complex_sets',0.5938424
16,'sd_complex_sets',0.3805829
17,'sd_complex_sets',0.7370282
18,'sd_complex_sets',2.1137762
19,'"sd_complex_groups"',
20,'sd_complex_sets',1.0525367
21,'sd_complex_sets',0.3951617
22,'sd_complex_sets',2.9720135
23,'sd_complex_sets',1.4073614
24,'sd_complex_sets',2.0372703
25,'sd_complex_sets',1.7100281
26,'sd_complex_sets',0.6949336
27,'sd_complex_sets',1.2429836
28,'sd_complex_sets',0.6172886
29,'sd_complex_sets',1.8622848
30,'sd_complex_sets',1.5065537
31,'sd_complex_sets',0.5215704
32,'sd_complex_sets',4.2410524
33,'sd_complex_sets',1.21783
34,'sd_complex_sets',1.1032061
35,'sd_complex_sets',4.8220673
36,'sd_complex_sets',0.2764507
37,'sd_complex_sets',0.6088694
38,'sd_complex_sets',2.4657009
39,'sd_complex_sets',2.0022787
40,'sd_complex_sets',1.067098
41,'sd_complex_sets',0.6328579
42,'sd_complex_sets',0.5467167
43,'sd_complex_sets',0.9222914
44,'sd_complex_sets',0.355302
45,'"sd_complex_groups"',
46,'sd_complex_sets',3.1656202
47,'sd_complex_sets',2.1232868
48,'sd_complex_sets',0.9921412
49,'sd_complex_sets',1.5330156
50,'sd_complex_sets',0.6276232
51,'sd_complex_sets',1.173413
52,'sd_complex_sets',1.1212049
53,'sd_complex_sets',0.8987179
54,'sd_complex_sets',4.9788456
55,'sd_complex_sets',4.4993098
56,'sd_complex_sets',2.6195914
57,'sd_complex_sets',0.6949336
58,'sd_complex_sets',0.9445076
59,'sd_complex_sets',1.0788395
60,'sd_complex_sets',2.5880305
61,'sd_complex_sets',1.9385085
62,'sd_complex_sets',3.7383451
63,'sd_complex_sets',1.348279
64,'sd_complex_sets',0.4508779
65,'sd_complex_sets',1.0788395
66,'"sd_complex_groups"',
1,'"sd_redund_10plus"',
2,'"sd_redund_10plus"',
3,'"sd_redund_10plus"',
4,'"sd_redund_10plus"',
5,'"sd_redund_10plus"',
6,'"sd_redund_10plus"',
7,'sd_redund_10plus',1.4302644
8,'sd_redund_10plus',3.3132728
9,'"sd_redund_10plus"',
10,'"sd_redund_10plus"',
11,'"sd_redund_10plus"',
12,'sd_redund_10plus',0.8539609
13,'sd_redund_10plus',0.4805259
14,'"sd_redund_10plus"',
15,'sd_redund_10plus',0.67355
16,'"sd_redund_10plus"',
17,'"sd_redund_10plus"',
18,'"sd_redund_10plus"',
19,'"sd_redund_10plus"',
20,'sd_redund_10plus',1.0792269
21,'"sd_redund_10plus"',
22,'"sd_redund_10plus"',
23,'"sd_redund_10plus"',
24,'"sd_redund_10plus"',
25,'"sd_redund_10plus"',
26,'"sd_redund_10plus"',
27,'"sd_redund_10plus"',
28,'"sd_redund_10plus"',
29,'"sd_redund_10plus"',
30,'"sd_redund_10plus"',
31,'"sd_redund_10plus"',
32,'"sd_redund_10plus"',
33,'sd_redund_10plus',1.3214668
34,'"sd_redund_10plus"',
35,'"sd_redund_10plus"',
36,'"sd_redund_10plus"',
37,'"sd_redund_10plus"',
38,'"sd_redund_10plus"',
39,'"sd_redund_10plus"',
40,'sd_redund_10plus',1.3011443
41,'sd_redund_10plus',0.5859999
42,'"sd_redund_10plus"',
43,'"sd_redund_10plus"',
44,'"sd_redund_10plus"',
45,'"sd_redund_10plus"',
46,'"sd_redund_10plus"',
47,'"sd_redund_10plus"',
48,'"sd_redund_10plus"',
49,'"sd_redund_10plus"',
50,'"sd_redund_10plus"',
51,'sd_redund_10plus',0.8916901
52,'"sd_redund_10plus"',
53,'"sd_redund_10plus"',
54,'"sd_redund_10plus"',
55,'sd_redund_10plus',3.3132728
56,'"sd_redund_10plus"',
57,'"sd_redund_10plus"',
58,'"sd_redund_10plus"',
59,'sd_redund_10plus',1.0860547
60,'"sd_redund_10plus"',
61,'"sd_redund_10plus"',
62,'"sd_redund_10plus"',
63,'"sd_redund_10plus"',
64,'"sd_redund_10plus"',
65,'sd_redund_10plus',1.0860547
66,'sd_redund_10plus',
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
